Connector ID,Connector,Connector Location Views Page Number,Grid Reference,Location in Vehicle
C1575,"6R80 Transmission",14,D7,"Right center of transmission"
C1575,"6R80 Transmission (3.5L)",7,F3,"Right center of transmission"
C100,"A/C compressor clutch field coil (6.2L)",13,D7,"On right front side of engine"
C100,"A/C compressor clutch field coil",3,C1,"right engine compartment"
C1260,"A/C pressure transducer",2,F2,"Front right engine compartment"
C301,"AC outlet",19,B1,"Center console"
C301,"AC outlet",20,B1,"Center console"
C2251,"Accelerator Pedal Position (APP) sensor",21,E8,"Near gas pedal"
C2383,"Accessory Protocol Interface Module (APIM)",16,A5,"Behind top center of dash panel"
C2601,"Adjustable steering column motor, telescope",16,F1,"On steering column"
C2600,"Adjustable steering column motor, tilt",16,F2,"On steering column"
C2003,"Adjustable pedal motor",21,A4,"LH kick panel"
C289,"Air inlet mode door actuator",18,C1,"Behind right side of dash panel"
C132,"Ambient Air Temperature (AAT) sensor",2,F4,"Front right engine compartment"
C3348,"Ambient lighting switch (with ambient lighting)",19,B7,"Center console"
C135,"Anti-lock Brake System (ABS) module",2,D7,"Front left engine compartment"
C127,"Anti-theft hood switch",3,C7,"Left engine compartment"
C240B,"Audio Control Module (ACM)",16,C8,"Behind center of dash panel"
C3154A,"Audio Digital Signal Processing (DSP) module (Super Cab)",27,A7,"Vehicle floor, between front seats"
C3154A,"Audio Digital Signal Processing (DSP) module (Super Crew)",28,A7,"Vehicle floor, between front seats"
C2362,"Audio input jack",16,E3,"Behind center of dash panel"
C9039,"Auto-dimming interior mirror",46,F2,"In roof panel, front center"
C9039,"Auto-dimming interior mirror",47,E1,"In roof panel, front center"
C9039,"Auto-dimming interior mirror",48,F1,"In roof panel, front center"
C287,"Autolamp sensor (manual a/c)",15,A5,"Behind center of dash panel"
C286,"Autolamp/sunload sensor (automatic a/c)",15,A5,"Behind center of dash panel"
,"Auxiliary Battery Junction Box (BJB)",4,A7,"Left rear engine compartment"
C1646,"Battery current sensor",1,A3,"Right engine compartment"
C1035A,"Battery Junction Box (BJB)",1,F5,"Front center engine compartment"
C1100A,"Battery",2,E1,"Front right engine compartment"
C2185,"Blower motor resistor",18,F1,"Behind right side of dash panel"
C2185,"Blower motor speed control",18,F1,"Behind right side of dash panel"
C2004,"Blower motor",18,D1,"Behind right side of dash panel"
C2280D,"Body Control Module (BCM)",22,D1,"RH kick panel"
C124,"Brake fluid level switch",2,B8,"Left rear engine compartment"
